Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Firefox 65.0,,2019-03-11 11:16:22,2019-03-11 11:16:55,33.008s,PASSED
,,,,,,
Test Cases/Login/Login_Valid,Firefox 65.0,,2019-03-11 11:16:22,2019-03-11 11:16:42,19.764s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-03-11 11:16:24,2019-03-11 11:16:34,10.094s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Firefox 65.0,,2019-03-11 11:16:34,2019-03-11 11:16:35,1.619s,PASSED
startPage = getUrl(),Firefox 65.0,,2019-03-11 11:16:35,2019-03-11 11:16:35,0.073s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Firefox 65.0,,2019-03-11 11:16:35,2019-03-11 11:16:35,0.010s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Username""), Username)",Firefox 65.0,,2019-03-11 11:16:35,2019-03-11 11:16:36,0.388s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Password""), Password)",Firefox 65.0,,2019-03-11 11:16:36,2019-03-11 11:16:36,0.169s,PASSED
"click(findTestObject(""Login/Page_Delphi/a_Login""))",Firefox 65.0,,2019-03-11 11:16:36,2019-03-11 11:16:36,0.420s,PASSED
delay(2),Firefox 65.0,,2019-03-11 11:16:36,2019-03-11 11:16:38,2.068s,PASSED
signedInPage = getUrl(),Firefox 65.0,,2019-03-11 11:16:38,2019-03-11 11:16:38,0.042s,PASSED
"assert signedInPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site""",Firefox 65.0,,2019-03-11 11:16:38,2019-03-11 11:16:38,0.002s,PASSED
"click(findTestObject(""Login/Page_Delphi/i_Add Site_upDownIcon""))",Firefox 65.0,,2019-03-11 11:16:38,2019-03-11 11:16:39,0.343s,PASSED
delay(1),Firefox 65.0,,2019-03-11 11:16:39,2019-03-11 11:16:40,1.015s,PASSED
"click(findTestObject(""Login/Page_Delphi/a_Sign Out""))",Firefox 65.0,,2019-03-11 11:16:40,2019-03-11 11:16:40,0.401s,PASSED
closeBrowser(),Firefox 65.0,,2019-03-11 11:16:40,2019-03-11 11:16:42,1.934s,PASSED
,,,,,,
Test Cases/Login/Login_Invalid,Firefox 65.0,,2019-03-11 11:16:42,2019-03-11 11:16:52,9.936s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-03-11 11:16:43,2019-03-11 11:16:49,6.095s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Firefox 65.0,,2019-03-11 11:16:49,2019-03-11 11:16:51,1.863s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Username""), ""kaylat"")",Firefox 65.0,,2019-03-11 11:16:51,2019-03-11 11:16:51,0.565s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Password""), ""invalid"")",Firefox 65.0,,2019-03-11 11:16:51,2019-03-11 11:16:51,0.255s,PASSED
"click(findTestObject(""Login/Page_Delphi/a_Login""))",Firefox 65.0,,2019-03-11 11:16:51,2019-03-11 11:16:52,0.319s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Delphi/div_Invalid username or password""))",Firefox 65.0,,2019-03-11 11:16:52,2019-03-11 11:16:52,0.284s,PASSED
"verifyElementPresent(findTestObject(""Login/Page_Delphi/div_Invalid username or password""), 0)",Firefox 65.0,,2019-03-11 11:16:52,2019-03-11 11:16:52,0.036s,PASSED
