Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS1_Login,Chrome 73.0.3683.86,,2019-04-02 09:37:21,2019-04-02 09:37:44,22.947s,PASSED
,,,,,,
Test Cases/Login_Tests/TC1_Login_Valid,Chrome 73.0.3683.86,,2019-04-02 09:37:22,2019-04-02 09:37:37,14.847s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-02 09:37:23,2019-04-02 09:37:29,6.198s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-02 09:37:29,2019-04-02 09:37:31,1.556s,PASSED
startPage = getUrl(),Chrome 73.0.3683.86,,2019-04-02 09:37:31,2019-04-02 09:37:31,0.316s,PASSED
"assert startPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login""",Chrome 73.0.3683.86,,2019-04-02 09:37:31,2019-04-02 09:37:31,0.004s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Username""), Username)",Chrome 73.0.3683.86,,2019-04-02 09:37:31,2019-04-02 09:37:32,0.640s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Password""), Password)",Chrome 73.0.3683.86,,2019-04-02 09:37:32,2019-04-02 09:37:32,0.311s,PASSED
"click(findTestObject(""Login/Page_Delphi/a_Login""))",Chrome 73.0.3683.86,,2019-04-02 09:37:32,2019-04-02 09:37:32,0.246s,PASSED
delay(2),Chrome 73.0.3683.86,,2019-04-02 09:37:32,2019-04-02 09:37:34,2.051s,PASSED
signedInPage = getUrl(),Chrome 73.0.3683.86,,2019-04-02 09:37:34,2019-04-02 09:37:34,0.050s,PASSED
"assert signedInPage == ""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/site""",Chrome 73.0.3683.86,,2019-04-02 09:37:34,2019-04-02 09:37:34,0.001s,PASSED
"click(findTestObject(""Login/Page_SignedIn/i_Add Site_upDownIcon""))",Chrome 73.0.3683.86,,2019-04-02 09:37:34,2019-04-02 09:37:34,0.192s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-02 09:37:34,2019-04-02 09:37:35,1.008s,PASSED
"click(findTestObject(""Login/Page_SignedIn/a_Sign Out""))",Chrome 73.0.3683.86,,2019-04-02 09:37:35,2019-04-02 09:37:36,0.243s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-02 09:37:36,2019-04-02 09:37:37,1.010s,PASSED
,,,,,,
Test Cases/Login_Tests/TC2_Login_Invalid,Chrome 73.0.3683.86,,2019-04-02 09:37:37,2019-04-02 09:37:43,6.553s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-02 09:37:37,2019-04-02 09:37:40,2.966s,PASSED
"navigateToUrl(""http://ec2-54-148-80-155.us-west-2.compute.amazonaws.com:8080/Sites/#/login"")",Chrome 73.0.3683.86,,2019-04-02 09:37:40,2019-04-02 09:37:42,1.399s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Username""), ""kaylat"")",Chrome 73.0.3683.86,,2019-04-02 09:37:42,2019-04-02 09:37:42,0.819s,PASSED
"setText(findTestObject(""Login/Page_Delphi/input_Password""), ""invalid"")",Chrome 73.0.3683.86,,2019-04-02 09:37:42,2019-04-02 09:37:43,0.322s,PASSED
"click(findTestObject(""Login/Page_Delphi/a_Login""))",Chrome 73.0.3683.86,,2019-04-02 09:37:43,2019-04-02 09:37:43,0.165s,PASSED
"click(findTestObject(""Login/Page_Delphi/div_Invalid username or password""))",Chrome 73.0.3683.86,,2019-04-02 09:37:43,2019-04-02 09:37:43,0.221s,PASSED
"verifyElementPresent(findTestObject(""Login/Page_Delphi/div_Invalid username or password""), 0)",Chrome 73.0.3683.86,,2019-04-02 09:37:43,2019-04-02 09:37:43,0.192s,PASSED
